check,status,note,metrics_json
A1 File exists,PASS,,"{""path"": ""C:\\Users\\am636\\copperbelt_worldpop_smod\\data_raw\\ZMB_adm2_gadm41_Copperbelt.shp""}"
A2 Readable layer,PASS,,"{""features"": 12}"
A3 Geometry types are polygon-only,PASS,,"{""geom_types"": [""Polygon""], ""unexpected"": []}"
A4 Text encoding heuristic,PASS,,"{""flagged_columns"": [], ""checked_object_columns"": 0}"
B1 CRS exists,PASS,,"{""crs"": ""EPSG:4326"", ""epsg"": 4326}"
B2 Geographic CRS note,WARN,"Area/length are not meaningful unless projected (e.g., EPSG:6933).","{""is_geographic"": true}"
C1 Schema overview,PASS,,"{""columns"": [""GID_2"", ""GID_0"", ""COUNTRY"", ""GID_1"", ""NAME_1"", ""NL_NAME_1"", ""NAME_2"", ""VARNAME_2"", ""NL_NAME_2"", ""TYPE_2"", ""ENGTYPE_2"", ""CC_2"", ""HASC_2"", ""geometry""], ""dtypes"": {""GID_2"": ""str"", ""GID_0"": ""str"", ""COUNTRY"": ""str"", ""GID_1"": ""str"", ""NAME_1"": ""str"", ""NL_NAME_1"": ""str"", ""NAME_2"": ""str"", ""VARNAME_2"": ""str"", ""NL_NAME_2"": ""str"", ""TYPE_2"": ""str"", ""ENGTYPE_2"": ""str"", ""CC_2"": ""str"", ""HASC_2"": ""str""}}"
C2 Key fields present (soft check),PASS,,"{""missing"": [], ""present"": [""GID_0"", ""GID_1"", ""GID_2"", ""NAME_1"", ""NAME_2""]}"
C3 Null/empty counts for key fields,PASS,,"{""GID_0"": {""null"": 0, ""empty_string"": 0}, ""GID_1"": {""null"": 0, ""empty_string"": 0}, ""GID_2"": {""null"": 0, ""empty_string"": 0}, ""NAME_1"": {""null"": 0, ""empty_string"": 0}, ""NAME_2"": {""null"": 0, ""empty_string"": 0}}"
C4 Uniqueness of GID_2,FAIL,Duplicate IDs can break joins and distort zonal summaries.,"{""duplicates_count"": 2, ""duplicate_values"": [""ZMB.2.3_2""], ""truncated"": false}"
C5 Province consistency (unique NAME_1 values),WARN,,"{""unique_NAME_1"": [""Copperbelt"", ""North-Western""]}"
C6 Out-of-scope by expected NAME_1,FAIL,Out-of-scope features should be removed or reported separately.,"{""expected_NAME_1"": ""Copperbelt"", ""mismatch_count"": 1}"
C7 Hierarchy: NAME_2 maps to a single NAME_1,PASS,,"{""problematic_NAME_2_count"": 0, ""examples"": {}}"
D1 Missing/empty/invalid geometries,PASS,,"{""missing_geom"": 0, ""empty_geom"": 0, ""invalid_geom"": 0}"
D2 Invalid geometry diagnostics,PASS,,"{""invalid_count"": 0}"
E1 Duplicate geometries (exact),FAIL,,"{""duplicate_groups"": 1, ""features_involved"": 2}"
F0 Equal-area projection,PASS,,"{""equal_area_crs"": ""EPSG:6933""}"
F1 Overlaps between polygons,FAIL,,"{""overlap_pair_count"": 1, ""csv"": ""C:\\Users\\am636\\copperbelt_worldpop_smod\\tables\\task2_overlaps.csv""}"
F2 Enclosed gaps (holes inside union),PASS,,"{""hole_count"": 0, ""hole_area_m2"": 0.0, ""hole_ratio"": 0.0}"
F3 Slivers (very small polygons),PASS,,"{""sliver_count"": 0, ""threshold_m2"": 1000000.0, ""median_area_m2"": 1156362905.182572}"
G1 Geometry complexity,PASS,,"{""features"": 12, ""multipart_count"": 0, ""vertex_count_min"": 96, ""vertex_count_median"": 417.0, ""vertex_count_p95"": 2211.4499999999985, ""vertex_count_max"": 3477}"
G2 Zonal statistics readiness notes,PASS,,"{""notes"": [""Overlaps can double-count population in zonal sums."", ""Invalid geometries can cause failures or incorrect results in zonal operations."", ""Out-of-scope features should be excluded or reported separately.""]}"
H1 Issues layer written,PASS,,"{""flagged_feature_count"": 3, ""gpkg"": ""C:\\Users\\am636\\copperbelt_worldpop_smod\\outputs\\task2_issues_features.gpkg""}"
