district,cells_rural,cells_urban_cluster,cells_urban_centre,cells_total,prop_rural,prop_urban_cluster,prop_urban_centre,dominant_class,dominant_code,tie_for_dominant
Lufwanyama,10946,3,0,10949,0.999726002374646,0.0002739976253539136,0.0,Rural,1,False
Mpongwe,8922,36,0,8958,0.9959812458137978,0.004018754186202277,0.0,Rural,1,False
Mushindano,4858,4,1,4863,0.9989718280896566,0.0008225375282747275,0.00020563438206868187,Rural,1,False
Masaiti,3685,25,0,3710,0.9932614555256065,0.006738544474393531,0.0,Rural,1,False
Chingola,1525,23,49,1597,0.954915466499687,0.014402003757044458,0.030682529743268627,Rural,1,False
Kitwe,956,126,128,1210,0.7900826446280992,0.10413223140495868,0.10578512396694215,Rural,1,False
Chililabombwe,1083,13,18,1114,0.9721723518850988,0.011669658886894075,0.01615798922800718,Rural,1,False
Ndola,929,57,106,1092,0.8507326007326007,0.0521978021978022,0.09706959706959707,Rural,1,False
Kalulushi,1056,15,2,1073,0.9841565703634669,0.013979496738117428,0.001863932898415657,Rural,1,False
Kalulushi,1056,15,2,1073,0.9841565703634669,0.013979496738117428,0.001863932898415657,Rural,1,False
Luanshya,726,29,40,795,0.9132075471698113,0.03647798742138365,0.050314465408805034,Rural,1,False
Mufulira,693,21,36,750,0.924,0.028,0.048,Rural,1,False
